Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11285,9/8/2022,0.027216339,0.120379114,0.116570998,21,100
Market-Adjusted Model,11292,9/8/2022,-0.028160189,0.071461156,0.06119447,21,100
Market-Adjusted Model,11293,9/8/2022,0.035759828,0.127685223,0.125114486,21,100
Market-Adjusted Model,11308,9/8/2022,-0.071137297,0.018571082,0.018217361,21,100
Market-Adjusted Model,11368,9/8/2022,0.333527129,0.411813349,0.422881787,21,100
Market-Adjusted Model,11369,9/8/2022,-0.037918969,0.054674568,0.05143569,21,100
Market-Adjusted Model,11370,9/8/2022,-0.142523759,-0.059773546,-0.0531691,21,100
Market-Adjusted Model,11379,9/8/2022,0.266203609,0.357864097,0.355558267,21,100
Market-Adjusted Model,11394,9/8/2022,-0.150207485,-0.036203334,-0.060852826,21,100
Market-Adjusted Model,11397,9/8/2022,-0.0734305,0.016174813,0.015924159,21,100
Market-Adjusted Model,11403,9/8/2022,-0.114215511,-0.026884184,-0.024860853,21,100
Market-Adjusted Model,11404,9/8/2022,-0.023693844,0.069061116,0.065660814,21,100
Market-Adjusted Model,11407,9/8/2022,-0.096456869,-0.007028557,-0.007102211,21,100
Market-Adjusted Model,11442,9/8/2022,0.002996107,0.095104196,0.092350766,21,100
Market-Adjusted Model,11481,9/8/2022,-0.15456672,-0.061539075,-0.065212062,21,100
Market-Adjusted Model,11499,9/8/2022,-0.091439655,0.007759725,-0.002084996,21,100
Market-Adjusted Model,11511,9/8/2022,-0.20891365,-0.127224442,-0.119558991,21,100
Market-Adjusted Model,11533,9/8/2022,-0.076743762,0.013988766,0.012610897,21,100
Market-Adjusted Model,11547,9/8/2022,-0.102151158,-0.009091788,-0.0127965,21,100
Market-Adjusted Model,11565,9/8/2022,-0.025796671,0.067121132,0.063557988,21,100
Market-Adjusted Model,11581,9/8/2022,-0.201425173,-0.129687117,-0.112070514,21,100
Market-Adjusted Model,11587,9/8/2022,-0.086805846,0.003516962,0.002548813,21,100
Market-Adjusted Model,11593,9/8/2022,-0.142857132,-0.059706814,-0.053502474,21,100
Market-Adjusted Model,11600,9/8/2022,-0.138483965,-0.052827073,-0.049129306,21,100
Market-Adjusted Model,11618,9/8/2022,-0.098503516,-0.009248899,-0.009148858,21,100
Market-Adjusted Model,11628,9/8/2022,-0.045497183,0.04738729,0.043857476,21,100
Market-Adjusted Model,11636,9/8/2022,-0.075107283,0.038499687,0.014247376,21,100
Market-Adjusted Model,11644,9/8/2022,-0.045334666,0.064357715,0.044019993,21,100
Market-Adjusted Model,11654,9/8/2022,-0.137781648,-0.039310554,-0.048426989,21,100
Market-Adjusted Model,11664,9/8/2022,-0.086083177,0.00852386,0.003271482,21,100
Market-Adjusted Model,11674,9/8/2022,-0.048085016,0.043603215,0.041269643,21,100
Market-Adjusted Model,11691,9/8/2022,-0.18628673,-0.108461552,-0.096932071,21,100
Market-Adjusted Model,11701,9/8/2022,-0.180588667,-0.103919162,-0.091234009,21,100
Market-Adjusted Model,11731,9/8/2022,-0.120683016,-0.034406956,-0.031328358,21,100
Market-Adjusted Model,11748,9/8/2022,-0.05777485,0.046218492,0.031579808,21,100
Market-Adjusted Model,11752,9/8/2022,-0.30913014,-0.269502686,-0.219775482,21,100
Market-Adjusted Model,11762,9/8/2022,-0.076413049,0.015056292,0.012941609,21,100
Market-Adjusted Model,11775,9/8/2022,-0.247273775,-0.186971575,-0.157919117,21,100
Market-Adjusted Model,11786,9/8/2022,-0.189202622,-0.109069615,-0.099847964,21,100
Market-Adjusted Model,11790,9/8/2022,-0.067375905,0.023418565,0.021978753,21,100
